Manufacturer,Model,Vehicle_type,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Jeep,Wrangler,Car,2.5,120,93.4,66.7,152,3.045,19,17,03-04-2012,48.67289791
Jeep,Cherokee,Car,4,190,101.4,69.4,167.5,3.194,20,20,10-05-2012,76.58443962
Jeep,Grand Cherokee,Car,4,195,105.9,72.3,181.5,3.88,20.5,19,12-10-2011,80.38777912
Lexus,ES300,Passenger,3,210,105.1,70.5,190.2,3.373,18.5,23,07-09-2012,87.21100104
Lexus,GS300,Passenger,3,225,110.2,70.9,189.2,3.638,19.8,23,05-10-2012,94.9466984
Lexus,GS400,Passenger,4,300,110.2,70.9,189.2,3.693,19.8,21,11/28/2012,125.0133574
Lexus,LS400,Passenger,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163
Lexus,LX470,Car,4.7,230,112.2,76.4,192.5,5.401,25.4,15,10/30/2012,105.760458
Lexus,RX300,Car,3,220,103,71.5,180.1,3.9,17.2,21,01-04-2012,91.94380156
Lincoln,Continental,Passenger,4.6,275,109,73.6,208.5,3.868,20,22,08-03-2012,113.5402069
Lincoln,Town car,Passenger,4.6,215,117.7,78.2,215.3,4.121,19,21,06-04-2012,93.9579169
Lincoln,Navigator,Car,5.4,300,119,79.9,204.8,5.393,30,15,12/23/2012,123.9720467
Mitsubishi,Mirage,Passenger,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056
Mitsubishi,Eclipse,Passenger,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235
Mitsubishi,Galant,Passenger,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292
Mitsubishi,Diamante,Passenger,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858
Mitsubishi,3000GT,Passenger,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494
Mitsubishi,Montero,Car,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504
Mitsubishi,Montero Sport,Car,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179
Mercury,Mystique,Passenger,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761
Mercury,Cougar,Passenger,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426
Mercury,Sable,Passenger,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663
Mercury,Grand Marquis,Passenger,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646
Mercury,Mountaineer,Car,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425
Mercury,Villager,Car,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461
Mercedes-B,C-Class,Passenger,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088
Mercedes-B,E-Class,Passenger,3.2,221,111.5,70.8,189.4,3.823,21.1,25,07-12-2011,98.2497375
Mercedes-B,S-Class,Passenger,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757
Mercedes-B,SL-Class,Passenger,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936
Mercedes-B,SLK,Passenger,2.3,190,94.5,67.5,157.9,3.055,15.9,26,1/16/2011,82.80736193
Mercedes-B,SLK230,Passenger,2.3,185,94.5,67.5,157.3,2.975,14,27,08-06-2011,81.84896924
Mercedes-B,CLK Coupe,Passenger,3.2,215,105.9,67.8,180.3,3.213,16.4,26,07-08-2011,92.92579177
Mercedes-B,CL500,Passenger,5,302,113.6,73.1,196.6,4.115,23.2,20,04-11-2011,141.1009845
Mercedes-B,M-Class,Car,3.2,215,111,72.2,180.6,4.387,19,20,02-10-2011,90.49553213
Nissan,Sentra,Passenger,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791
